0,1.055
1.055,1.055
2.099,1.044
3.182,1.083
4.33,1.148
5.469,1.139
6.577,1.108
7.711,1.134
8.857,1.146
9.963,1.106
11.087,1.124
12.126,1.039
13.119,0.993
14.236,1.117
15.308,1.072
16.392,1.084
17.514,1.122
18.622,1.108
19.68,1.058
20.753,1.073
21.815,1.062
22.832,1.017
23.904,1.072
25.002,1.098
26.05,1.048
27.185,1.135
28.367,1.182
29.561,1.194
30.829,1.268
32.143,1.314
33.367,1.224
34.626,1.259
35.929,1.303
37.233,1.304
38.514,1.281
39.811,1.297
41.097,1.286
42.34,1.243
43.622,1.282
44.873,1.251
46.123,1.25
47.397,1.274
48.62,1.223
49.871,1.251
51.102,1.231
52.252,1.15
53.445,1.193
54.695,1.25
55.853,1.158
57.043,1.19
58.247,1.204
59.404,1.157
60.602,1.198
61.8,1.198
62.946,1.146
64.148,1.202
65.382,1.234
66.562,1.18
67.774,1.212
68.968,1.194
70.163,1.195
71.382,1.219
72.536,1.154
73.735,1.199
74.939,1.204
76.117,1.178
77.331,1.214
78.502,1.171
79.704,1.202
80.912,1.208
82.087,1.175
83.278,1.191
84.425,1.147
85.593,1.168
86.811,1.218
88.003,1.192
89.254,1.251
90.561,1.307
91.804,1.243
93.039,1.235
94.209,1.17
95.239,1.03
96.369,1.13
97.554,1.185
98.786,1.232
100.04,1.254
101.265,1.225
102.475,1.21
103.704,1.229
104.942,1.238
106.189,1.247
107.432,1.243
108.656,1.224
109.885,1.229
111.121,1.236
112.337,1.216
113.562,1.225
114.825,1.263
116.049,1.224
117.262,1.213
118.507,1.245
119.681,1.174
120.836,1.155
122.043,1.207
123.222,1.179
124.4,1.178
125.615,1.215
126.802,1.187
127.983,1.181
129.222,1.239
130.44,1.218
131.674,1.234
132.955,1.281
134.184,1.229
135.404,1.22
136.645,1.241
137.826,1.181
139.016,1.19
140.238,1.222
141.441,1.203
142.67,1.229
143.922,1.252
145.117,1.195
146.338,1.221
147.577,1.239
148.74,1.163
149.919,1.179
151.115,1.196
152.271,1.156
153.44,1.169
154.635,1.195
155.783,1.148
156.897,1.114
158.09,1.193
159.263,1.173
160.39,1.127
161.589,1.199
162.777,1.188
163.903,1.126
165.061,1.158
166.212,1.151
167.302,1.09
168.401,1.099
169.534,1.133
170.649,1.115
171.761,1.112
172.952,1.191
174.12,1.168
175.184,1.064
176.281,1.097
177.388,1.107
178.477,1.089
179.581,1.104
180.741,1.16
181.84,1.099
182.97,1.13
184.128,1.158
185.228,1.1
186.35,1.122
187.542,1.192
188.703,1.161
189.874,1.171
191.076,1.202
192.189,1.113
193.353,1.164
194.52,1.167
195.667,1.147
196.84,1.173
198.002,1.162
199.115,1.113
200.276,1.161
201.477,1.201
202.608,1.131
203.737,1.129
204.882,1.145
205.994,1.112
207.072,1.078
208.181,1.109
209.286,1.105
210.389,1.103
211.531,1.142
212.668,1.137
213.769,1.101
214.92,1.151
216.071,1.151
217.176,1.105
218.316,1.14
219.449,1.133
220.539,1.09
221.672,1.133
222.799,1.127
223.892,1.093
225.023,1.131
226.208,1.185
227.338,1.13
228.503,1.165
229.67,1.167
230.792,1.122
231.892,1.1
232.881,0.989
233.82,0.939
234.799,0.979
235.816,1.017
236.884,1.068
237.969,1.085
238.995,1.026
240.053,1.058
241.14,1.087
242.235,1.095
243.311,1.076
244.447,1.136
245.605,1.158
246.731,1.126
247.888,1.157
249.112,1.224
250.348,1.236
251.532,1.184
252.734,1.202
253.919,1.185
255.067,1.148
256.229,1.162
257.426,1.197
258.612,1.186
259.748,1.136
260.93,1.182
262.087,1.157
263.208,1.121
264.394,1.186
265.535,1.141
266.638,1.103
267.792,1.154
268.939,1.147
